model_label,family,precision,benchmark_kind,runtime,run_name,input_resolution,dataset_resolution,fps_mean,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,power_mean_w,energy_per_frame_j,artifact,source_file
YOLOv8-S,yolo,fp32,end_to_end,ultralytics_pt,yolov8s_data640_img640,640,640,23.05649930779025,43.37171860526647,43.25361999508459,44.27442702581175,44.717801007209346,9.248608208955224,0.40112803272916353,/home/jetson/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,jetson_results/pytorch_baseline/benchmark_summary.csv
YOLOv8-S,yolo,fp16,end_to_end,ultralytics_engine,yolov8s_data640_img640,640,640,50.709126364437815,19.72031607906575,19.604152999818325,20.63162499689497,21.061879000626504,7.389428278688524,0.14572186129932446,/home/jetson/yolo-vs-rfdetr/deploy/exports/yolo/yolov8s_data640_img640/fp16/yolov8s_data640_img640_fp16.engine,jetson_results/yolo_tensorrt/benchmark_summary.csv
YOLOv8-S,yolo,int8,end_to_end,ultralytics_engine,yolov8s_data640_img640,640,640,61.51569672524019,16.256013558076067,16.150683994055726,17.17072498286143,17.501021997304633,6.267032258064516,0.10187696135599683,/home/jetson/yolo-vs-rfdetr/deploy/exports/yolo/yolov8s_data640_img640/int8/yolov8s_data640_img640_int8.engine,jetson_results/yolo_tensorrt/benchmark_summary.csv
YOLOv8-M,yolo,fp32,end_to_end,ultralytics_pt,yolov8m_data640_img640,640,640,11.983757427352073,83.44628185793975,83.33896250405814,84.36065498972312,84.78171698516235,10.153105876639144,0.8472389347155345,/home/jetson/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,jetson_results/pytorch_baseline/benchmark_summary.csv
YOLOv8-M,yolo,fp16,end_to_end,ultralytics_engine,yolov8m_data640_img640,640,640,32.02837639489194,31.22231322844967,31.10633800679352,32.12552299373783,32.528158015338704,9.015382923673997,0.28148110951736593,/home/jetson/yolo-vs-rfdetr/deploy/exports/yolo/yolov8m_data640_img640/fp16/yolov8m_data640_img640_fp16.engine,jetson_results/yolo_tensorrt/benchmark_summary.csv
YOLOv8-M,yolo,int8,end_to_end,ultralytics_engine,yolov8m_data640_img640,640,640,43.719011460694944,22.873344263491365,22.49035550630651,25.068346003536135,25.55383599246852,7.576342151675485,0.1732962822932743,/home/jetson/yolo-vs-rfdetr/deploy/exports/yolo/yolov8m_data640_img640/int8/yolov8m_data640_img640_int8.engine,jetson_results/yolo_tensorrt/benchmark_summary.csv
YOLO11-S,yolo,fp32,end_to_end,ultralytics_pt,yolo11s_data640_img640,640,640,23.314247390661286,42.89222736825544,42.77934698620811,43.78507699584589,44.16470599244349,9.100163207547169,0.3903262693863459,/home/jetson/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,jetson_results/pytorch_baseline/benchmark_summary.csv
YOLO11-S,yolo,fp16,end_to_end,ultralytics_engine,yolo11s_data640_img640,640,640,49.819292157010686,20.07254532738835,19.964246501331218,20.975932013243437,21.36269598850049,7.3806559356136825,0.14814855081346354,/home/jetson/yolo-vs-rfdetr/deploy/exports/yolo/yolo11s_data640_img640/fp16/yolo11s_data640_img640_fp16.engine,jetson_results/yolo_tensorrt/benchmark_summary.csv
YOLO11-S,yolo,int8,end_to_end,ultralytics_engine,yolo11s_data640_img640,640,640,58.19207679579814,17.1844700354844,17.072415008442476,18.091420002747327,18.430021998938173,6.297992957746479,0.10822767126608612,/home/jetson/yolo-vs-rfdetr/deploy/exports/yolo/yolo11s_data640_img640/int8/yolo11s_data640_img640_int8.engine,jetson_results/yolo_tensorrt/benchmark_summary.csv
YOLO11-M,yolo,fp32,end_to_end,ultralytics_pt,yolo11m_data640_img640,640,640,11.847324816305605,84.40724091768709,84.29439198516775,85.30157897621393,85.68296500016004,10.2523237271854,0.8653703588066576,/home/jetson/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,jetson_results/pytorch_baseline/benchmark_summary.csv
