model_name,family,run_name,raw_epoch,epoch,train_loss,val_loss,precision,recall,map50,map50_95,f1,time_seconds,dataset_resolution,input_resolution,training_seconds,best_weights,class_ap_biodegradable,class_ap_cardboard,class_ap_glass,class_ap_metal,class_ap_paper,class_ap_plastic
YOLOv8-S,yolo,yolov8s_data640_img640,1,1,4.60044,4.5232,0.5009,0.36678,0.39433,0.24427,0.4234743269403196,183.269,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,2,2,4.4302,4.35166,0.5083,0.38722,0.41704,0.25733,0.4395746069317943,364.644,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,3,3,4.34074,4.25309,0.53451,0.411,0.4456,0.27969,0.46468807310291305,542.818,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,4,4,4.15449,4.13849,0.54729,0.38269,0.43786,0.27464,0.45042347168707886,720.811,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,5,5,3.98536,3.7990900000000005,0.53283,0.41748,0.45796,0.3065,0.46815432521969874,897.513,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,6,6,3.8881400000000004,3.7147200000000002,0.5594,0.45236,0.51358,0.349,0.5002178065939549,1074.63,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,7,7,3.80827,3.65308,0.59208,0.45825,0.51004,0.34613,0.5166388849213898,1251.98,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,8,8,3.7042800000000002,3.53461,0.63144,0.45752,0.53701,0.3699,0.5305914428440617,1428.95,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,9,9,3.6217900000000003,3.4769099999999997,0.58981,0.4712,0.54109,0.37555,0.523875311259532,1605.78,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,10,10,3.5694399999999997,3.4420900000000003,0.59392,0.49138,0.54949,0.38485,0.5378059699617269,1783.17,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,11,11,3.5923599999999998,3.47281,0.59918,0.51211,0.55601,0.37961,0.552234015962933,1959.38,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,12,12,3.47991,3.42948,0.61896,0.47486,0.54076,0.37773,0.5374181229082139,2134.29,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,13,13,3.39071,3.3399799999999997,0.6062,0.50988,0.55509,0.38916,0.553883692924742,2309.32,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,14,14,3.28958,3.3091299999999997,0.62279,0.51166,0.56489,0.39926,0.561781887962835,2485.03,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,15,15,3.19816,3.2799500000000004,0.62215,0.52876,0.5703,0.40007,0.5716659582412423,2660.39,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
YOLOv8-S,yolo,yolov8s_data640_img640,16,16,3.12717,3.2508999999999997,0.65213,0.52118,0.57926,0.41259,0.5793475098647592,2835.54,640,640,3588.532635879994,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8s_data640_img640_best.pt,,,,,,
