epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.652,1.41078,1.84378,1.60636,0.38975,0.30716,0.30169,0.1692,1.52745,1.88439,1.6903,0.000333212,0.000333212,0.000333212
2,804.586,1.40174,1.77135,1.61975,0.4438,0.3371,0.33804,0.20438,1.36911,1.71811,1.59772,0.000662483,0.000662483,0.000662483
3,1197.08,1.34627,1.65396,1.57898,0.47307,0.3639,0.39711,0.25674,1.2968,1.48675,1.522,0.000975655,0.000975655,0.000975655
4,1588.22,1.30073,1.56462,1.54389,0.54076,0.38762,0.45411,0.3116,1.18529,1.29138,1.41942,0.000946048,0.000946048,0.000946048
5,1979.85,1.25149,1.45523,1.50675,0.54804,0.40711,0.46167,0.30897,1.20427,1.22474,1.41116,0.000905463,0.000905463,0.000905463
6,2370.68,1.22011,1.37859,1.48327,0.58047,0.42578,0.4966,0.33572,1.15451,1.21553,1.38126,0.000855018,0.000855018,0.000855018
7,2761.83,1.19244,1.32058,1.46109,0.55751,0.4347,0.49297,0.33656,1.14531,1.15832,1.36286,0.000795954,0.000795954,0.000795954
8,3157.96,1.16125,1.26052,1.44572,0.59064,0.4504,0.52088,0.3575,1.10907,1.06221,1.34532,0.000729725,0.000729725,0.000729725
9,3549.31,1.15584,1.21662,1.42822,0.5762,0.44912,0.50085,0.34454,1.11543,1.08116,1.32591,0.000657963,0.000657963,0.000657963
10,3942.46,1.12974,1.15984,1.40853,0.58028,0.48683,0.54445,0.38207,1.07821,1.02707,1.3075,0.000582435,0.000582435,0.000582435
11,4335.16,1.1176,1.11541,1.45832,0.60324,0.48722,0.55397,0.38551,1.09173,1.01247,1.31552,0.000505,0.000505,0.000505
12,4732.4,1.0803,1.05413,1.42949,0.5979,0.49012,0.54894,0.38107,1.08021,0.98175,1.3032,0.000427565,0.000427565,0.000427565
13,5122.52,1.05015,0.99155,1.40264,0.61629,0.49482,0.56066,0.39633,1.04514,0.977,1.284,0.000352037,0.000352037,0.000352037
14,5513.18,1.02424,0.92635,1.37636,0.60269,0.50559,0.55938,0.39433,1.04256,0.94738,1.27799,0.000280275,0.000280275,0.000280275
15,5903.29,0.99449,0.87806,1.35574,0.60756,0.50811,0.5637,0.39685,1.0458,0.93074,1.27945,0.000214046,0.000214046,0.000214046
16,6293.46,0.97623,0.83236,1.33884,0.61152,0.52088,0.57174,0.40596,1.02957,0.91427,1.26599,0.000154982,0.000154982,0.000154982
17,6683.76,0.95922,0.79768,1.32648,0.63,0.51194,0.58138,0.4101,1.03597,0.90215,1.26387,0.000104537,0.000104537,0.000104537
18,7076.88,0.94204,0.76813,1.31242,0.62676,0.5174,0.5803,0.41229,1.02571,0.89573,1.26041,6.39518e-05,6.39518e-05,6.39518e-05
19,7467.94,0.93389,0.74809,1.30475,0.60797,0.53565,0.58434,0.41503,1.02016,0.88395,1.25458,3.4227e-05,3.4227e-05,3.4227e-05
20,7864.78,0.93056,0.73158,1.29503,0.61608,0.53387,0.5868,0.41743,1.01546,0.88202,1.25303,1.60943e-05,1.60943e-05,1.60943e-05
