epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.133,1.37108,1.67185,1.50005,0.48436,0.32478,0.3581,0.22288,1.39961,1.65717,1.50846,0.000333076,0.000333076,0.000333076
2,393.134,1.38355,1.56841,1.52404,0.43884,0.33161,0.34624,0.20437,1.46158,1.74374,1.56476,0.000662348,0.000662348,0.000662348
3,581.244,1.35905,1.52692,1.51881,0.45992,0.37899,0.38801,0.24704,1.35566,1.40693,1.46503,0.000975521,0.000975521,0.000975521
4,768.607,1.30774,1.43239,1.47646,0.5066,0.41422,0.42554,0.27438,1.31421,1.31782,1.43141,0.000946048,0.000946048,0.000946048
5,955.324,1.26502,1.34208,1.45132,0.49652,0.40724,0.41895,0.27375,1.24789,1.27262,1.38652,0.000905463,0.000905463,0.000905463
6,1142.45,1.2341,1.26558,1.42201,0.54517,0.43088,0.48032,0.31637,1.2182,1.17854,1.36767,0.000855018,0.000855018,0.000855018
7,1329.09,1.21502,1.21705,1.40892,0.56748,0.45001,0.51204,0.34873,1.18958,1.1211,1.32331,0.000795954,0.000795954,0.000795954
8,1515.93,1.18961,1.16206,1.39139,0.57716,0.46401,0.52893,0.35851,1.19049,1.05752,1.32201,0.000729725,0.000729725,0.000729725
9,1702.85,1.16635,1.11367,1.37046,0.59219,0.48068,0.5467,0.38237,1.12249,0.99966,1.28381,0.000657963,0.000657963,0.000657963
10,1889.48,1.14606,1.07698,1.35708,0.58395,0.49365,0.5476,0.38122,1.14643,1.00078,1.29042,0.000582435,0.000582435,0.000582435
11,2075.47,1.18189,1.05657,1.41375,0.59034,0.49421,0.54763,0.37817,1.13636,1.00508,1.29142,0.000505,0.000505,0.000505
12,2260,1.14897,0.99255,1.38822,0.6011,0.49878,0.55994,0.38801,1.12103,0.9889,1.27721,0.000427565,0.000427565,0.000427565
13,2444.78,1.12364,0.93876,1.36778,0.61179,0.48641,0.55734,0.39093,1.10867,0.9463,1.25844,0.000352037,0.000352037,0.000352037
14,2630.02,1.10225,0.89314,1.34367,0.63621,0.49548,0.56662,0.40092,1.08929,0.93966,1.25093,0.000280275,0.000280275,0.000280275
15,2814.82,1.07459,0.84648,1.32193,0.62699,0.5328,0.57695,0.40567,1.08327,0.92363,1.2446,0.000214046,0.000214046,0.000214046
16,3004.76,1.05329,0.80907,1.30765,0.64294,0.51791,0.57638,0.40562,1.07978,0.92471,1.24073,0.000154982,0.000154982,0.000154982
17,3189.63,1.04023,0.77507,1.29477,0.66503,0.5211,0.58706,0.41691,1.06358,0.9094,1.23169,0.000104537,0.000104537,0.000104537
18,3374.44,1.02505,0.75647,1.2845,0.64831,0.53866,0.59285,0.41968,1.06562,0.89967,1.2311,6.39518e-05,6.39518e-05,6.39518e-05
19,3559.05,1.01197,0.73573,1.27607,0.66403,0.52187,0.58738,0.41292,1.07723,0.90405,1.23498,3.4227e-05,3.4227e-05,3.4227e-05
20,3744.09,1.01221,0.73175,1.27142,0.66463,0.52344,0.58883,0.41514,1.06794,0.89903,1.23075,1.60943e-05,1.60943e-05,1.60943e-05
