epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.992,1.37997,1.75225,1.56795,0.4353,0.32594,0.32071,0.19827,1.36411,1.76651,1.5624,0.000333182,0.000333182,0.000333182
2,736.16,1.35924,1.65323,1.57913,0.47721,0.36217,0.3849,0.24076,1.33636,1.48709,1.55719,0.000662453,0.000662453,0.000662453
3,1096.36,1.31732,1.57111,1.5473,0.50193,0.36995,0.41646,0.27806,1.24587,1.38189,1.45903,0.000975625,0.000975625,0.000975625
4,1455.39,1.28631,1.47396,1.52611,0.5348,0.41463,0.45574,0.30545,1.21295,1.29384,1.41793,0.000946048,0.000946048,0.000946048
5,1813.27,1.2327,1.36573,1.48405,0.58864,0.43919,0.50274,0.34247,1.16581,1.16988,1.37832,0.000905463,0.000905463,0.000905463
6,2177.64,1.20171,1.28344,1.46275,0.56385,0.4545,0.49657,0.33436,1.15989,1.17197,1.36734,0.000855018,0.000855018,0.000855018
7,2535.96,1.17796,1.22798,1.43991,0.56088,0.45357,0.50242,0.3491,1.14724,1.10675,1.34425,0.000795954,0.000795954,0.000795954
8,2898.54,1.14942,1.18157,1.42529,0.55147,0.48235,0.51789,0.36018,1.11132,1.06343,1.33682,0.000729725,0.000729725,0.000729725
9,3256.97,1.13344,1.12404,1.40764,0.61065,0.50295,0.55611,0.38978,1.0783,0.99709,1.30495,0.000657963,0.000657963,0.000657963
10,3621.62,1.11736,1.07226,1.39246,0.60231,0.4988,0.55558,0.3883,1.09529,0.97548,1.31461,0.000582435,0.000582435,0.000582435
11,3989.18,1.09931,1.04183,1.42847,0.60249,0.49593,0.55495,0.39523,1.06643,0.98021,1.30368,0.000505,0.000505,0.000505
12,4360.07,1.07182,0.97365,1.4017,0.6041,0.50599,0.5596,0.38689,1.10503,0.95974,1.30521,0.000427565,0.000427565,0.000427565
13,4722.38,1.03808,0.90967,1.37553,0.61784,0.50017,0.56036,0.40115,1.04786,0.92976,1.28887,0.000352037,0.000352037,0.000352037
14,5090.71,1.01586,0.85223,1.35337,0.63878,0.51442,0.58751,0.41644,1.05653,0.90059,1.27557,0.000280275,0.000280275,0.000280275
15,5465.47,0.98657,0.80353,1.32947,0.63881,0.54178,0.58421,0.40971,1.04952,0.89712,1.27129,0.000214046,0.000214046,0.000214046
16,5832.36,0.96521,0.75938,1.31087,0.64928,0.54157,0.58535,0.41206,1.04948,0.88555,1.27318,0.000154982,0.000154982,0.000154982
17,6200.14,0.94509,0.72329,1.29515,0.6552,0.53513,0.59005,0.42036,1.03731,0.87526,1.26929,0.000104537,0.000104537,0.000104537
18,6574.53,0.93066,0.69729,1.2852,0.65052,0.52821,0.58512,0.41409,1.04545,0.87232,1.27388,6.39518e-05,6.39518e-05,6.39518e-05
19,6942.6,0.91857,0.67858,1.27651,0.65539,0.53692,0.59175,0.41949,1.03825,0.87001,1.26859,3.4227e-05,3.4227e-05,3.4227e-05
20,7316.81,0.91448,0.66455,1.26884,0.66109,0.53435,0.59168,0.42001,1.03684,0.86522,1.2694,1.60943e-05,1.60943e-05,1.60943e-05
