epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.269,1.38634,1.71421,1.49989,0.5009,0.36678,0.39433,0.24427,1.43167,1.59449,1.49704,0.00033306,0.00033306,0.00033306
2,364.644,1.37466,1.54333,1.51221,0.5083,0.38722,0.41704,0.25733,1.38815,1.4761,1.48741,0.000662332,0.000662332,0.000662332
3,542.818,1.34859,1.49033,1.50182,0.53451,0.411,0.4456,0.27969,1.37095,1.3859,1.49624,0.000975507,0.000975507,0.000975507
4,720.811,1.30189,1.38715,1.46545,0.54729,0.38269,0.43786,0.27464,1.34335,1.34561,1.44953,0.000946048,0.000946048,0.000946048
5,897.513,1.24751,1.30293,1.43492,0.53283,0.41748,0.45796,0.3065,1.24475,1.18927,1.36507,0.000905463,0.000905463,0.000905463
6,1074.63,1.22949,1.24188,1.41677,0.5594,0.45236,0.51358,0.349,1.19829,1.15988,1.35655,0.000855018,0.000855018,0.000855018
7,1251.98,1.2131,1.19318,1.40199,0.59208,0.45825,0.51004,0.34613,1.20444,1.11357,1.33507,0.000795954,0.000795954,0.000795954
8,1428.95,1.18254,1.13805,1.38369,0.63144,0.45752,0.53701,0.3699,1.15557,1.06751,1.31153,0.000729725,0.000729725,0.000729725
9,1605.78,1.15762,1.09636,1.36781,0.58981,0.4712,0.54109,0.37555,1.13587,1.04082,1.30022,0.000657963,0.000657963,0.000657963
10,1783.17,1.15793,1.05663,1.35488,0.59392,0.49138,0.54949,0.38485,1.12087,1.03333,1.28789,0.000582435,0.000582435,0.000582435
11,1959.38,1.16564,1.03167,1.39505,0.59918,0.51211,0.55601,0.37961,1.16872,1.0072,1.29689,0.000505,0.000505,0.000505
12,2134.29,1.138,0.96774,1.37417,0.61896,0.47486,0.54076,0.37773,1.12988,1.01308,1.28652,0.000427565,0.000427565,0.000427565
13,2309.32,1.11667,0.91916,1.35488,0.6062,0.50988,0.55509,0.38916,1.11238,0.96211,1.26549,0.000352037,0.000352037,0.000352037
14,2485.03,1.09439,0.86727,1.32792,0.62279,0.51166,0.56489,0.39926,1.10096,0.94959,1.25858,0.000280275,0.000280275,0.000280275
15,2660.39,1.06376,0.82392,1.31048,0.62215,0.52876,0.5703,0.40007,1.09417,0.93865,1.24713,0.000214046,0.000214046,0.000214046
16,2835.54,1.04392,0.7881,1.29515,0.65213,0.52118,0.57926,0.41259,1.07696,0.92563,1.24831,0.000154982,0.000154982,0.000154982
17,3010.98,1.02966,0.75732,1.28155,0.64864,0.53496,0.58312,0.41052,1.08621,0.91226,1.24358,0.000104537,0.000104537,0.000104537
18,3185.97,1.02099,0.74121,1.27514,0.67724,0.5155,0.58502,0.41619,1.07661,0.91374,1.23779,6.39518e-05,6.39518e-05,6.39518e-05
19,3361.42,1.00394,0.72245,1.26299,0.64638,0.52242,0.58083,0.41223,1.07854,0.91161,1.23889,3.4227e-05,3.4227e-05,3.4227e-05
20,3536.59,0.99764,0.71,1.25605,0.65676,0.52556,0.58483,0.41485,1.07776,0.90879,1.23732,1.60943e-05,1.60943e-05,1.60943e-05
